,,,,,,Date,Close
,,,,,,11/29/2022 23:58:00,2984.325
,,,,,,11/30/2022 23:58:00,3015.084
,,,,,,12/1/2022 23:58:00,2961.467
,,,,,,12/2/2022 23:58:00,2940.679
,,,,,,12/3/2022 23:58:00,2940.679
,,,,,,12/4/2022 23:58:00,2946.024
,,,,,,12/5/2022 23:58:00,2936.833
,,,,,,12/6/2022 23:58:00,2984.051
,,,,,,12/7/2022 23:58:00,2996.062
,,,,,,12/8/2022 23:58:00,2983.275
,,,,,,12/9/2022 23:58:00,2974.099
,,,,,,12/10/2022 23:58:00,2970.548
,,,,,,12/12/2022 23:58:00,2944.879
,,,,,,12/13/2022 23:58:00,2935.207
,,,,,,12/14/2022 23:58:00,2932.507
,,,,,,12/15/2022 23:58:00,2940.922
,,,,,,12/16/2022 23:58:00,2932.689
,,,,,,12/17/2022 23:58:00,2930.36
,,,,,,12/19/2022 23:58:00,2936.193
,,,,,,12/20/2022 23:58:00,2991.596
,,,,,,12/21/2022 23:58:00,2982.466
,,,,,,12/22/2022 23:58:00,3011.941
,,,,,,12/23/2022 23:58:00,3012.466
,,,,,,12/24/2022 23:58:00,3014.597
,,,,,,12/26/2022 23:58:00,2990.42
,,,,,,12/27/2022 23:58:00,2948.639
,,,,,,12/28/2022 23:58:00,2996.925
,,,,,,12/29/2022 23:58:00,2954.92
,,,,,,12/30/2022 23:58:00,2935.094
,,,,,,12/31/2022 23:58:00,2941.897
,,,,,,1/2/2023 23:58:00,2899.172
,,,,,,1/3/2023 23:58:00,2839.804
,,,,,,1/4/2023 23:58:00,2864.612
,,,,,,1/5/2023 23:58:00,2918.917
,,,,,,1/6/2023 23:58:00,2981.967
,,,,,,1/7/2023 23:58:00,2986.988
,,,,,,1/9/2023 23:58:00,2964.683
,,,,,,1/10/2023 23:58:00,2982.733
,,,,,,1/11/2023 23:58:00,2987.036
,,,,,,1/12/2023 23:58:00,2969.661
,,,,,,1/13/2023 23:58:00,2961.954
,,,,,,1/14/2023 23:58:00,3005.337
,,,,,,1/16/2023 23:58:00,2930.587
,,,,,,1/17/2023 23:58:00,2972.3
,,,,,,1/18/2023 23:58:00,2912.171
,,,,,,1/19/2023 23:58:00,2925.797
,,,,,,1/20/2023 23:58:00,2890.7
,,,,,,1/21/2023 23:58:00,2891.109
,,,,,,1/23/2023 23:58:00,2881.86
,,,,,,1/24/2023 23:58:00,2905.924
,,,,,,1/25/2023 23:58:00,2939.294
,,,,,,1/26/2023 23:58:00,2949.391
,,,,,,1/27/2023 23:58:00,2930.783
,,,,,,1/28/2023 23:58:00,2929.507
,,,,,,1/30/2023 23:58:00,2930.772
,,,,,,1/31/2023 23:58:00,2954.589
,,,,,,2/1/2023 23:58:00,2938.675
,,,,,,2/2/2023 23:58:00,2946.324
,,,,,,2/3/2023 23:58:00,2927.854
,,,,,,2/4/2023 23:58:00,2926.201
,,,,,,2/6/2023 23:58:00,2952.034
,,,,,,2/7/2023 23:58:00,2906.847
,,,,,,2/8/2023 23:58:00,2906.501
,,,,,,2/9/2023 23:58:00,2861.463
